"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2023_18_DEN_LV","DEN","LV","REG",14,27,286,359,645,10,10,2,3,0,2,8,5,0.2,0,0.8,0.3,0.2,0.5,2023
"2023_18_HOU_IND","HOU","IND","REG",23,19,306,362,668,11,13,3,1,1,3,7,9,0.272727272727273,0.0909090909090909,0.636363636363636,0.0769230769230769,0.230769230769231,0.692307692307692,2023
"2023_18_JAX_TEN","JAX","TEN","REG",20,28,362,327,689,10,10,2,4,2,0,6,6,0.2,0.2,0.6,0.4,0,0.6,2023
"2023_18_KC_LAC","KC","LAC","REG",13,12,268,353,621,11,11,0,0,2,4,9,7,0,0.181818181818182,0.818181818181818,0,0.363636363636364,0.636363636363636,2023
"2023_18_LA_SF","LAR","SF","REG",18,20,260,300,560,9,8,0,3,0,0,9,5,0,0,1,0.375,0,0.625,2023
"2023_18_MIN_DET","MIN","DET","REG",20,30,448,381,829,11,11,2,4,2,1,7,6,0.181818181818182,0.181818181818182,0.636363636363636,0.363636363636364,0.0909090909090909,0.545454545454545,2023
"2023_18_NYJ_NE","NYJ","NE","REG",17,3,256,119,375,14,15,1,0,3,1,10,14,0.0714285714285714,0.214285714285714,0.714285714285714,0,0.0666666666666667,0.933333333333333,2023
"2023_18_PHI_NYG","PHI","NYG","REG",10,27,299,415,714,13,12,1,3,1,2,11,7,0.0769230769230769,0.0769230769230769,0.846153846153846,0.25,0.166666666666667,0.583333333333333,2023
"2023_18_PIT_BAL","PIT","BAL","REG",17,10,289,224,513,13,12,2,1,1,1,10,10,0.153846153846154,0.0769230769230769,0.769230769230769,0.0833333333333333,0.0833333333333333,0.833333333333333,2023
"2023_18_SEA_ARI","SEA","ARI","REG",21,20,329,466,795,9,10,2,2,2,2,5,6,0.222222222222222,0.222222222222222,0.555555555555556,0.2,0.2,0.6,2023
"2023_18_TB_CAR","TB","CAR","REG",9,0,228,199,427,11,9,0,0,4,0,7,9,0,0.363636363636364,0.636363636363636,0,0,1,2023
"2023_19_CLE_HOU","CLE","HOU","POST",14,45,324,356,680,12,11,2,4,0,1,10,6,0.166666666666667,0,0.833333333333333,0.363636363636364,0.0909090909090909,0.545454545454545,2023
"2023_19_GB_DAL","GB","DAL","POST",48,32,415,514,929,11,11,7,4,0,1,4,6,0.636363636363636,0,0.363636363636364,0.363636363636364,0.0909090909090909,0.545454545454545,2023
"2023_19_LA_DET","LAR","DET","POST",12,24,425,334,759,8,8,0,3,3,1,5,4,0,0.375,0.625,0.375,0.125,0.5,2023
"2023_19_MIA_KC","MIA","KC","POST",7,26,264,409,673,11,10,1,2,0,4,10,4,0.0909090909090909,0,0.909090909090909,0.2,0.4,0.4,2023
