"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","home_line","over_under","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2024_04_CIN_CAR","CIN","CAR","REG",34,24,373,375,748,10,11,4,3,2,1,4,7,-4.5,47,0.4,0.2,0.4,0.272727272727273,0.0909090909090909,0.636363636363636,2024
"2024_04_CLE_LV","CLE","LV","REG",16,20,241,268,509,10,11,1,2,1,2,8,7,-2.5,36.5,0.1,0.1,0.8,0.181818181818182,0.181818181818182,0.636363636363636,2024
"2024_04_DAL_NYG","DAL","NYG","REG",20,15,293,303,596,10,9,2,0,3,5,5,4,-5.5,45,0.2,0.3,0.5,0,0.555555555555556,0.444444444444444,2024
"2024_04_DEN_NYJ","DEN","NYJ","REG",10,9,186,248,434,13,13,1,0,1,3,11,10,7.5,39.5,0.0769230769230769,0.0769230769230769,0.846153846153846,0,0.230769230769231,0.769230769230769,2024
"2024_04_JAX_HOU","JAX","HOU","REG",20,24,313,435,748,13,10,2,3,1,1,10,6,5.5,44.5,0.153846153846154,0.0769230769230769,0.769230769230769,0.3,0.1,0.6,2024
"2024_04_KC_LAC","KC","LAC","REG",17,10,329,224,553,12,10,2,1,1,1,9,8,-7.5,41.5,0.166666666666667,0.0833333333333333,0.75,0.1,0.1,0.8,2024
"2024_04_LA_CHI","LAR","CHI","REG",6,24,322,264,586,10,10,0,3,4,1,6,6,3,40,0,0.4,0.6,0.3,0.1,0.6,2024
"2024_04_MIN_GB","MIN","GB","REG",31,29,374,467,841,15,16,4,4,1,0,10,12,2.5,44,0.266666666666667,0.0666666666666667,0.666666666666667,0.25,0,0.75,2024
"2024_04_NE_SF","NE","SF","REG",13,30,213,431,644,13,11,2,2,1,3,10,6,10.5,41.5,0.153846153846154,0.0769230769230769,0.769230769230769,0.181818181818182,0.272727272727273,0.545454545454545,2024
"2024_04_NO_ATL","NO","ATL","REG",24,26,366,315,681,10,10,3,2,1,4,6,4,2.5,41.5,0.3,0.1,0.6,0.2,0.4,0.4,2024
"2024_04_PHI_TB","PHI","TB","REG",16,33,227,445,672,11,11,3,4,0,2,8,5,-1,42,0.272727272727273,0,0.727272727272727,0.363636363636364,0.181818181818182,0.454545454545455,2024
"2024_04_PIT_IND","PIT","IND","REG",24,27,404,358,762,12,11,3,3,1,2,8,6,-2.5,40,0.25,0.0833333333333333,0.666666666666667,0.272727272727273,0.181818181818182,0.545454545454545,2024
"2024_04_SEA_DET","SEA","DET","REG",29,42,516,389,905,11,11,4,6,0,0,7,5,3.5,46.5,0.363636363636364,0,0.636363636363636,0.545454545454545,0,0.454545454545455,2024
"2024_04_TEN_MIA","TEN","MIA","REG",31,12,244,184,428,13,14,2,1,5,2,6,11,2.5,37,0.153846153846154,0.384615384615385,0.461538461538462,0.0714285714285714,0.142857142857143,0.785714285714286,2024
"2024_04_WAS_ARI","WAS","ARI","REG",42,14,451,296,747,9,9,5,2,2,0,2,7,3.5,49,0.555555555555556,0.222222222222222,0.222222222222222,0.222222222222222,0,0.777777777777778,2024
"2024_05_ARI_SF","ARI","SF","REG",24,23,360,384,744,10,10,2,1,3,3,5,6,7,48.5,0.2,0.3,0.5,0.1,0.3,0.6,2024
"2024_05_BAL_CIN","BAL","CIN","REG",41,38,520,444,964,13,13,4,5,2,0,7,8,-2.5,48.5,0.307692307692308,0.153846153846154,0.538461538461538,0.384615384615385,0,0.615384615384615,2024
"2024_05_BUF_HOU","BUF","HOU","REG",20,23,276,425,701,12,14,3,2,1,4,8,8,1,48,0.25,0.0833333333333333,0.666666666666667,0.142857142857143,0.285714285714286,0.571428571428571,2024
"2024_05_CAR_CHI","CAR","CHI","REG",10,36,292,424,716,12,13,1,5,1,1,10,7,4,40,0.0833333333333333,0.0833333333333333,0.833333333333333,0.384615384615385,0.0769230769230769,0.538461538461538,2024
"2024_05_CLE_WAS","CLE","WAS","REG",13,34,212,434,646,14,12,1,4,3,2,10,6,3,44,0.0714285714285714,0.214285714285714,0.714285714285714,0.333333333333333,0.166666666666667,0.5,2024
"2024_05_DAL_PIT","DAL","PIT","REG",20,17,445,226,671,9,11,2,2,2,1,5,8,2.5,43.5,0.222222222222222,0.222222222222222,0.555555555555556,0.181818181818182,0.0909090909090909,0.727272727272727,2024
"2024_05_GB_LA","GB","LAR","REG",24,18,323,370,693,11,10,3,0,1,0,7,10,-3,49.5,0.272727272727273,0.0909090909090909,0.636363636363636,0,0,1,2024
"2024_05_IND_JAX","IND","JAX","REG",34,37,447,497,944,14,12,5,4,2,3,7,5,3.5,45,0.357142857142857,0.142857142857143,0.5,0.333333333333333,0.25,0.416666666666667,2024
"2024_05_LV_DEN","LV","DEN","REG",18,34,332,289,621,12,13,2,4,1,2,9,7,3,36,0.166666666666667,0.0833333333333333,0.75,0.307692307692308,0.153846153846154,0.538461538461538,2024
"2024_05_MIA_NE","MIA","NE","REG",15,10,372,299,671,11,12,1,1,3,1,7,10,-2,37,0.0909090909090909,0.272727272727273,0.636363636363636,0.0833333333333333,0.0833333333333333,0.833333333333333,2024
"2024_05_NO_KC","NO","KC","REG",13,26,220,460,680,10,10,2,2,0,4,8,4,5.5,43,0.2,0,0.8,0.2,0.4,0.4,2024
"2024_05_NYG_SEA","NYG","SEA","REG",29,20,420,333,753,13,11,2,1,3,2,8,8,7,42.5,0.153846153846154,0.230769230769231,0.615384615384615,0.0909090909090909,0.181818181818182,0.727272727272727,2024
"2024_05_NYJ_MIN","NYJ","MIN","REG",17,23,254,253,507,13,14,2,1,1,3,10,10,2.5,42,0.153846153846154,0.0769230769230769,0.769230769230769,0.0714285714285714,0.214285714285714,0.714285714285714,2024
"2024_05_TB_ATL","TB","ATL","REG",30,36,333,550,883,10,12,2,5,3,3,5,4,2.5,44,0.2,0.3,0.5,0.416666666666667,0.25,0.333333333333333,2024
"2024_06_ARI_GB","ARI","GB","REG",13,34,303,437,740,10,12,2,4,1,2,7,6,5.5,47,0.2,0.1,0.7,0.333333333333333,0.166666666666667,0.5,2024
"2024_06_ATL_CAR","ATL","CAR","REG",38,20,425,335,760,11,10,4,2,3,2,4,6,-6,45.5,0.363636363636364,0.272727272727273,0.363636363636364,0.2,0.2,0.6,2024
"2024_06_BUF_NYJ","BUF","NYJ","REG",23,20,359,393,752,9,9,3,2,1,2,5,5,-1,42,0.333333333333333,0.111111111111111,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,2024
"2024_06_CIN_NYG","CIN","NYG","REG",17,7,304,309,613,11,12,2,1,1,0,8,11,-4.5,46,0.181818181818182,0.0909090909090909,0.727272727272727,0.0833333333333333,0,0.916666666666667,2024
"2024_06_CLE_PHI","CLE","PHI","REG",16,20,244,372,616,8,11,0,2,3,2,5,7,8,42,0,0.375,0.625,0.181818181818182,0.181818181818182,0.636363636363636,2024
"2024_06_DET_DAL","DET","DAL","REG",47,9,492,251,743,13,11,6,0,4,3,3,8,-3.5,52.5,0.461538461538462,0.307692307692308,0.230769230769231,0,0.272727272727273,0.727272727272727,2024
"2024_06_HOU_NE","HOU","NE","REG",41,21,368,291,659,14,14,5,3,2,0,7,11,-6.5,38.5,0.357142857142857,0.142857142857143,0.5,0.214285714285714,0,0.785714285714286,2024
"2024_06_IND_TEN","IND","TEN","REG",20,17,269,241,510,10,11,2,2,2,1,6,8,2.5,42,0.2,0.2,0.6,0.181818181818182,0.0909090909090909,0.727272727272727,2024
"2024_06_JAX_CHI","JAX","CHI","REG",16,35,278,373,651,10,11,2,6,1,0,7,5,-1.5,44.5,0.2,0.1,0.7,0.545454545454545,0,0.454545454545455,2024
"2024_06_LAC_DEN","LAC","DEN","REG",23,16,350,316,666,11,11,2,2,2,2,7,7,-3,37,0.181818181818182,0.181818181818182,0.636363636363636,0.181818181818182,0.181818181818182,0.636363636363636,2024
"2024_06_PIT_LV","PIT","LV","REG",32,13,293,275,568,12,11,3,2,5,0,4,9,-3.5,36.5,0.25,0.416666666666667,0.333333333333333,0.181818181818182,0,0.818181818181818,2024
"2024_06_SF_SEA","SF","SEA","REG",36,24,483,358,841,12,13,4,3,3,2,5,8,-3.5,49,0.333333333333333,0.25,0.416666666666667,0.230769230769231,0.153846153846154,0.615384615384615,2024
"2024_06_TB_NO","TB","NO","REG",51,27,594,303,897,15,14,5,2,1,2,9,10,-3.5,42.5,0.333333333333333,0.0666666666666667,0.6,0.142857142857143,0.142857142857143,0.714285714285714,2024
"2024_06_WAS_BAL","WAS","BAL","REG",23,30,305,484,789,9,10,1,3,3,3,5,4,6.5,51.5,0.111111111111111,0.333333333333333,0.555555555555556,0.3,0.3,0.4,2024
"2024_07_BAL_TB","BAL","TB","REG",41,31,508,483,991,11,12,4,4,1,1,6,7,-4.5,51,0.363636363636364,0.0909090909090909,0.545454545454545,0.333333333333333,0.0833333333333333,0.583333333333333,2024
"2024_07_CAR_WAS","CAR","WAS","REG",7,40,180,421,601,10,10,1,3,0,4,9,3,10,51,0.1,0,0.9,0.3,0.4,0.3,2024
"2024_07_CIN_CLE","CIN","CLE","REG",21,14,223,338,561,15,14,2,2,0,0,13,12,-5.5,42,0.133333333333333,0,0.866666666666667,0.142857142857143,0,0.857142857142857,2024
"2024_07_DEN_NO","DEN","NO","REG",33,10,389,271,660,12,12,2,1,4,1,6,10,-2.5,37,0.166666666666667,0.333333333333333,0.5,0.0833333333333333,0.0833333333333333,0.833333333333333,2024
"2024_07_DET_MIN","DET","MIN","REG",31,29,391,383,774,11,12,4,2,1,3,6,7,1,50.5,0.363636363636364,0.0909090909090909,0.545454545454545,0.166666666666667,0.25,0.583333333333333,2024
"2024_07_HOU_GB","HOU","GB","REG",22,24,197,277,474,12,12,2,3,3,2,7,7,3,48,0.166666666666667,0.25,0.583333333333333,0.25,0.166666666666667,0.583333333333333,2024
"2024_07_KC_SF","KC","SF","REG",28,18,329,310,639,12,11,4,2,0,2,8,7,2.5,47.5,0.333333333333333,0,0.666666666666667,0.181818181818182,0.181818181818182,0.636363636363636,2024
"2024_07_LAC_ARI","LAC","ARI","REG",15,17,395,326,721,8,10,0,2,5,3,3,5,-1,44,0,0.625,0.375,0.2,0.3,0.5,2024
"2024_07_LV_LA","LV","LAR","REG",15,18,317,259,576,13,13,0,0,5,0,8,13,7,43,0,0.384615384615385,0.615384615384615,0,0,1,2024
"2024_07_MIA_IND","MIA","IND","REG",10,16,337,284,621,12,14,1,1,1,3,10,10,3,44,0.0833333333333333,0.0833333333333333,0.833333333333333,0.0714285714285714,0.214285714285714,0.714285714285714,2024
